census_code,id,dist_name,id(ours),dist_name(ors),,,,seperated from
597,3210,Kottayam,597,Kottayam,Kottayam,Kottayam,5,
591,3204,Kozhikode,591,Kozhikode,Kozhikode,Kozhikode,0,
547,3706,Krishna,547,Krishna,Krishna,Krishna,35,
26,204,Kullu,26,Kullu,Kullu,Kullu,4,
1,101,Kupwara,1,Kupwara,Kupwara,Kupwara,0,
552,3711,Kurnool,552,Kurnool,Kurnool,Kurnool,38,
72,604,Kurukshetra,72,Kurukshetra,Kurukshetra,Kurukshetra,0,
189,958,Kushinagar,189,Kushinagar,Kushinagar,Kushinagar,3,
25,203,Lahaul And Spiti,25,Lahul & Spiti,Lahaul And Spiti,Lahaul And Spiti,0,
307,1808,Lakhimpur,307,Lakhimpur,Lakhimpur,Lakhimpur,4,
227,1025,Lakhisarai,227,Lakhisarai,Lakhisarai,Lakhisarai,0,
587,3101,Lakshadweep,587,Lakshadweep,Lakshadweep,Lakshadweep,0,
167,936,Lalitpur,167,Lalitpur,Lalitpur,Lalitpur,0,
524,2728,Latur,524,Latur,Latur,Latur,1,
287,1507,Lawngtlai,287,Lawngtlai,,Lawngtlai,0,
3,103,Leh,3,Leh(Ladakh),Leh,Leh,1,
356,2011,Lohardaga,356,Lohardaga,,Lohardaga,1,
255,1211,Lower Subansiri,255,Lower Subansiri,,Lower Subansiri,0,
157,926,Lucknow,157,Lucknow,Lucknow,Lucknow,39,
41,307,Ludhiana,41,Ludhiana,Ludhiana,Ludhiana,60,
286,1506,Lunglei,286,Lunglei,,Lunglei,0,
213,1011,Madhepura,213,Madhepura,,Madhepura,0,
207,1005,Madhubani,207,Madhubani,Madhubani,Madhubani,1,
623,3322,Madurai,623,Madurai,Madurai,Madurai,44,
538,3607,Mahabubnagar,538,Mahbubnagar,Mahabubnagar,Mahabubnagar,24,
187,956,Maharajganj,187,Mahrajganj,Maharajganj,Maharajganj,0,
411,2212,Mahasamund,411,Mahasamund,Mahasamund,Mahasamund,0,
636,3403,Mahe,636,Mahe,,Mahe,0,
84,616,Mahendragarh,84,Mahendragarh,,Mahendragarh,0,
169,938,Mahoba,169,Mahoba,Mahoba,Mahoba,0,
148,917,Mainpuri,148,Mainpuri,,Mainpuri,0,
592,3205,Malappuram,592,Malappuram,Malappuram,Malappuram,0,
332,1906,Malda,332,Maldah ,Malda,Malda,6,
399,2130,Malkangiri,399,Malkangiri  ,Malkangiri,Malkangiri,0,
281,1501,Mamit,281,Mamit,,Mamit,0,
27,205,Mandi,27,Mandi,Mandi,Mandi,1,
454,2337,Mandla,454,Mandla,Mandla,Mandla,6,
433,2316,Mandsaur,433,Mandsaur,Mandsaur,Mandsaur,2,
573,2919,Mandya,573,Mandya,Mandya,Mandya,3,
47,313,Mansa,47,Mansa,Mansa,Mansa,0,
145,914,Mathura,145,Mathura,Mathura,Mathura,9,
192,961,Mau,192,Mau,Mau,Mau,0,
376,2107,Mayurbhanj,376,Mayurbhanj,Mayurbhanj,Mayurbhanj,3,
535,3604,Medak,535,Medak,Medak,Medak,119,
138,907,Meerut,138,Meerut,Meerut,Meerut,17,
471,2404,Mehsana,471,Mahesana,Mehsana,Mehsana,22,
199,968,Mirzapur,199,Mirzapur,Mirzapur,Mirzapur,0,
42,308,Moga,42,Moga,Moga,Moga,13,
262,1302,Mokokchung,262,Mokokchung,,Mokokchung,0,
261,1301,Mon,261,Mon,Mon,Mon,1,
135,904,Moradabad,135,Moradabad,Moradabad,Moradabad,17,Sambhal
419,2302,Morena,419,Morena,Morena,Morena,8,
304,1805,Morigaon,304,Morigaon,Morigaon,Morigaon,0,
519,2723,Mumbai,519,Mumbai,Mumbai,Mumbai,176,
518,2722,Mumbai Suburban,518,Mumbai Suburban,Mumbai Suburban,Mumbai Suburban,177,
226,1024,Munger,226,Munger,Munger,Munger,1,
333,1907,Murshidabad,333,Murshidabad ,Murshidabad,Murshidabad,1,
133,902,Muzaffarnagar,133,Muzaffarnagar,Muzaffarnagar,Muzaffarnagar,12,
216,1014,Muzaffarpur,216,Muzaffarpur,Muzaffarpur,Muzaffarpur,3,
577,2923,Mysuru,577,Mysore,Mysuru,Mysuru,88,
397,2128,Nabarangpur,397,Nabarangapur ,,Nabarangpur,1,
336,1910,Nadia,336,Nadia ,Nadia,Nadia,2,
305,1806,Nagaon,305,Nagaon,Nagaon,Nagaon,1,
618,3317,Nagapattinam,618,Nagapattinam  ,Nagapattinam,Nagapattinam,4,
112,814,Nagaur,112,Nagaur,Nagaur,Nagaur,2,
505,2709,Nagpur,505,Nagpur,Nagpur,Nagpur,462,
66,511,Nainital,66,Nainital,Nainital,Nainital,8,
229,1027,Nalanda,229,Nalanda,Nalanda,Nalanda,0,
323,1824,Nalbari,323,Nalbari,Nalbari,Nalbari,0,Baksa
539,3608,Nalgonda,539,Nalgonda,Nalgonda,Nalgonda,46,Suryapet
609,3308,Namakkal,609,Namakkal   ,Namakkal,Namakkal,2,
,2715,Nanded,511,Nanded,Nanded,Nanded,8,
497,2701,Nandurbar,497,Nandurbar,Nandurbar,Nandurbar,1,
487,2420,Narmada,487,Narmada,Narmada,Narmada,0,
452,2335,Narsinghpur,452,Narsimhapur,Narsinghpur,Narsinghpur,8,
516,2720,Nashik,516,Nashik,Nashik,Nashik,213,
490,2423,Navsari,490,Navsari  ,Navsari,Navsari,1,
237,1035,Nawada,237,Nawada,,Nawada,0,
385,2116,Nayagarh,385,Nayagarh  ,Nayagarh,Nayagarh,1,
432,2315,Neemuch,432,Neemuch ,Neemuch,Neemuch,1,
