census_code,id,dist_name,id(ours),dist_name(ors),,,,ASSET_2019,BF_2019,CHH_2019,FC_2019,MSL_2019,MSW_2019,Aggregate_2019,ADI_Level,seperated from
28,206,Hamirpur,28,Hamirpur,Hamirpur,"[""Hamirpur""]",5800000,3,3,3,1,3,3,16,3,
168,937,Hamirpur,168,Hamirpur,,,,2,1,2,2,1,2,10,1,
100,802,Hanumangarh,100,Hanumangarh ,Hanumangarh,"[""Hanumangarh""]",200000,3,2,3,2,3,3,16,3,
448,2331,Harda,448,Harda,,,,3,1,2,1,3,2,12,2,
155,924,Hardoi,155,Hardoi,Hardoi,"[""Hardoi""]",800000,1,1,1,2,1,2,8,1,
68,513,Haridwar,68,Hardwar,Haridwar,"[""Haridwar""]",375900000,3,3,2,3,3,3,17,3,
574,2920,Hassan,574,Hassan,Hassan,"[""Hassan""]",14300000,3,1,3,1,3,3,14,2,
144,913,Hathras,144,Hathras,,,,3,1,1,2,3,2,12,2,
564,2910,Haveri,564,Haveri,Haveri,"[""Haveri""]",7800000,3,1,3,1,3,3,14,2,
360,2015,Hazaribagh,360,Hazaribagh,Hazaribagh,"[""Hazaribag"",""Hazaribagh""]",21200000,3,1,2,2,2,1,11,2,Ramgarh
512,2716,Hingoli,512,Hingoli,,,,3,1,2,1,3,2,12,2,
80,612,Hisar,80,Hisar,Hisar,"[""Hisar""]",490500000,3,2,2,2,3,3,15,3,
449,2332,Hoshangabad,449,Hoshangabad,Hoshangabad,"[""Hoshangabad""]",21800000,3,2,3,1,3,2,14,2,
38,304,Hoshiarpur,38,Hoshiarpur,Hoshiarpur,"[""Hoshiarpur""]",64800000,3,3,3,3,3,3,18,3,
341,1915,Howrah,341,Howrah,Howrah,"[""Howrah""]",30200000,3,3,3,3,3,3,18,3,
338,1912,Hooghly,338,Hugli ,Hooghly,"[""Hooghly""]",13500000,3,3,3,3,3,3,18,3,
536,3605,Hyderabad,536,Hyderabad,Hyderabad,"[""Hyderabad""]",1033200000,3,3,3,3,3,3,18,3,"Medchal, Sangareddy"
,,,,,Medchal,"[""Medchal""]",0,,,,,,,,,
