city/ town/ tehsil,district,constituency,No of factories
"pondicherry, puducherry ","pondicherry, puducherry ",PONDICHERRY,58
sedarapet,Pondicherry,Pondicherry,1
yanam,yanam (PY),PONDICHERRY,2
porbandar,porbandar,porbandar,7
pune,pune,pune,783
nayagarh,nayagarh,puri,1
purulia,purulia,purulia,7
rae bareli,rae bareli,rae bareli,12
raichur,raichur,raichur,6
dhokawade,Raigarh(MH),raigad,1
raigad,raigad (MH),raigad,606
raigarh,raigarh (CH),raigarh,32
baloda bazar,baloda bazar-bhatapara,raipur,1
raipur,raipur,raipur,33
siltara,raipur,raipur,1
bikkavolu,East Godavari,rajahmundry,9
rajgarh,rajgarh,rajgarh,2
rajkot,rajkot,rajkot,20
rajnandgaon,rajnandgaon,rajnandgaon,7
rajsamand,rajsamand,rajsamand,4
ramanathapuram,ramanathapuram,ramanathapuram,1
rampur,rampur (UP),rampur,9
savner,nagpur,ramtek,2
nadia,nadia,ranaghat,2
ranchi,ranchi,ranchi,47
ratlam,ratlam,ratlam,8
ratnagiri,ratnagiri,ratnagiri,29
sindhudurg,sindhudurg,RATNAGIRI SINDHUDURG,3
rewa,rewa,rewa,3
sirmaur,sirmaur,rewa,46
renukoot,sonbhadra,ROBERTSGANJ,2
rihand nagar,sonbhadra,ROBERTSGANJ,6
sonbhadra,sonbhadra,ROBERTSGANJ,14
bahadurgarh,jhajjar,rohtak,6
jhajjar,jhajjar,rohtak,16
rohtak,rohtak,rohtak,5
sabarkatha,sabarkatha,SABARKANTHA,3
saharanpur,saharanpur,saharanpur,20
salem,salem,salem,33
samastipur,samastipur,samastipur,1
hirakud,Sambalpur,sambalpur,1
sambalpur,sambalpur,sambalpur,3
sambhal,sambhal,sambhal,4
sangli,sangli,sangli,10
ahmedgrah,sangrur,sangrur,6
barnala,barnala,sangrur,189
sangrur,sangrur,sangrur,6
sant kabir nagar,sant kabir nagar,sant kabir nagar,1
kaimur,kaimur,sasaram,2
rohtas,rohtas (BR),sasaram,2
khandala,satara,satara,2
satara,satara,satara,60
satna,satna,satna,10
"secunderabad, sikandrabad ","secunderabad, sikandrabad ",SECUNDERABAD,17
anuppur,anuppur,shahdol,19
shahdol,shahdol,shahdol,270
shahjahanpur,shahjahanpur,shahjahanpur,5
east jaintia hills,east jaintia hills,shillong,2
ri-bhoi,ri-bhoi,shillong,1
baddi,solan,shimla,1
nalagarh,solan,shimla,3
parwanoo,solan,shimla,3
shimla,shimla,shimla,11
solan,solan,shimla,152
shimoga,shimoga,shimoga,4
mahalunge ingale,pune,shirur,1
nighoje,pune,shirur,3
pimpri-chinchwad,pune,shirur,6
ranjangaon,Ahmed nagar,shirur,2
sanaswadi,pune,shirur,1
shikrapur,pune,shirur,1
wagholi,satara,shirur,1
sidhi,sidhi,sidhi,2
singrauli,singrauli,sidhi,19
sikar,sikar,sikar,2
east sikkim,east sikkim,sikkim,5
samlik-marchak,east sikkim,sikkim,3
south sikkim,south sikkim,sikkim,5
west sikkim,west sikkim,sikkim,6
east singhbhum,east singhbhum,singhbhum,33
seraikela kharsawan,seraikela kharsawan (JH),SINGHBHUM,14
west singhbhum,west singhbhum,SINGHBHUM,4
sitamarhi,sitamarhi,sitamarhi,2
sitapur,sitapur,sitapur,12
sivaganga,sivaganga,sivaganga,4
borgaon,Solapur,solapur,1
solapur,solapur,solapur,34
sonipat,sonipat,sonipat,16
south delhi,south delhi,south delhi,15
south west delhi,south west delhi,south delhi,16
kundaim,North Goa,South goa,1
ponda,north goa,south goa,28
sancoale,south goa,south goa,1
South goa,South goa,South goa,38
verna,south goa,south goa,5
srikakulam,srikakulam,srikakulam,25
irungattukottai,Kancheepuram,sriperumbudur,1
mevalurkuppam,Kancheepuram,sriperumbudur,2
sriperumbudur,sriperumbudur,sriperumbudur,3
sultanpur,sultanpur,sultanpur,6
rourkela,sundargarh (OD),sundargarh,1
sundargarh,sundargarh,sundargarh,29
supaul,supaul,supaul,1
surat,surat,surat,338
fulwadi,Surendranagar,surendranagar,1
surendranagar,surendranagar,surendranagar,6
haldia,Purba Medinipur,tamluk,1
mussoorie,dehradun,tehri garhwal,1
uttarkashi,uttarkashi,tehri garhwal,2
sonitpur,sonitpur,tezpur,8
navi mumbai,thane,thane,61
thane,thane,thane,1
thane,thane,thane,325
thanjavur,thanjavur,thanjavur,5
theni,theni,theni,3
thiruvananthapuram,thiruvananthapuram,thiruvananthapuram,5
thoothukudi,thoothukudi,thoothukudi,21
thrissur,thrissur,THRISSUR,5
pudukkottai,pudukkottai,TIRUCHIRAPPALLI,13
tiruchirappalli,tiruchirappalli,TIRUCHIRAPPALLI,5
tirunelveli,tirunelveli,tirunelveli,78
gudur,Nellore,tirupati,1
perundurai,erode,tiruppur,3
tiruppur,tiruppur,tiruppur,37
gummidipundi,Thiruvallur,TIRUVALLUR,2
kuruvimedu,Thiruvallur,TIRUVALLUR,1
tiruvallur,tiruvallur,tiruvallur,136
tiruvannamalai,tiruvannamalai,tiruvannamalai,5
tonk,tonk,tonk,8
sawai madhopur,sawai madhopur,TONK-SAWAI MADHOPUR,2
korahavali,tumkur,tumkur,2
tumakuru,tumakuru,tumkur,1
tumkur,tumkur,tumkur,8
udaipur,udaipur,udaipur,12
kathua,kathua,udhampur,3
udhampur,udhampur,udhampur,2
udupi,udupi,udupi,10
chikkamagaluru,chikkamagaluru,udupi chimagalur,3
ujjain,ujjain,ujjain,10
unnao,unnao,unnao,6
uttara kannada,uttara kannada,uttara kannada,4
asoj,vadodara,vadodara,5
limda,vadodara,vadodara,1
vadodara,vadodara,vadodara,362
vaishali,vaishali,vaishali,6
umargam,valsad,valsad,1
valsad,valsad,valsad,126
vapi,valsad,valsad,13
varanasi,varanasi,varanasi,11
"vellore, vellore dist ","vellore, vellore dist ",vellore,28
velur,vellore,vellore,2
raisen,raisen,vidisha,36
sehore,sehore,vidisha,64
krishna,krishna,vijayawada,86
vijayawada,vijayawada,vijayawada,4
villupuram,villupuram,villupuram,14
sundararajapuram,virudhunagar,virudhunagar,1
virudhunagar,virudhunagar,virudhunagar,6
"visakhapatnam, vishakhapatnam ","visakhapatnam, vishakhapatnam ",VISAKHAPATNAM,122
gantyada,Vizianagaram,VIZIANAGARAM,1
vizianagaram,vizianagaram,VIZIANAGARAM,21
wardha,wardha,wardha,3
west delhi,west delhi,west delhi,4
washim,washim,YAVATMAL-WASHIM,1
yavatmal,yavatmal,YAVATMAL-WASHIM,14
pitlam,kamareddy,zahirabad,1
zaheerabad,zaheerabad,ZAHIRABAD,1
