CIN,COMPANY,AMOUNT,DISTRICT
U26939KL1963PLC002039,EICL LIMITED,5500000,THIRUVANANTHAPURAM
U26940MH1999PLC118229,LAFARGE INDIA LIMITED,4900000,BANKURA
U26940MH1999PLC118229,LAFARGE INDIA LIMITED,100000,BHIWANI
U26940MH1999PLC118229,LAFARGE INDIA LIMITED,6100000,BILASPUR
U26940MH1999PLC118229,LAFARGE INDIA LIMITED,9900000,CHITTORGARH
U26940MH1999PLC118229,LAFARGE INDIA LIMITED,65700000,MUMBAI CITY
U26941TN2000PTC044765,FLSMIDTH PRIVATE LIMITED,4800000,CHENNAI
U26941TN2000PTC044765,FLSMIDTH PRIVATE LIMITED,6600000,CHENNAI
U26941WB1996PLC076612,BINANI CEMENT LIMITED,1800000,SIROHI
U26942TG1984PTC004951,MY HOME INDUSTRIES PRIVATE LIMITED,4600000,NALGONDA
U26942TG1993PLC015764,PARASAKTI CEMENT INDUSTRIES LIMITED,2000000,GUNTUR
U26957MH2006PLC160839,JSW CEMENT LIMITED,24800000,KURNOOL
U26959WB1991PLC215773,INTELLIGENT INFRASTRUCTURE LIMITED,1000000,KOLKATA
U27100DL1999PLC108350,BHUSHAN POWER & STEEL LIMITED,18200000,SAMBALPUR
U27100DL1999PLC108350,BHUSHAN POWER & STEEL LIMITED,162000000,SAMBALPUR
U27100MH1985PLC037346,JSW STEEL COATED PRODUCTS LIMITED,5700000,NAGPUR
U27100MH1985PLC037346,JSW STEEL COATED PRODUCTS LIMITED,4800000,THANE
U27100MH1985PLC037346,JSW STEEL COATED PRODUCTS LIMITED,7500000,THANE
U27100MH1987PLC045013,SANVIJAY ROLLING AND ENGINEERING LIMITED,100000,NAGPUR
U27100MH1996PTC097025,DELTA IRON AND STEEL COMPANY PRIVATE LIMITED,200000,AHMEDABAD
U27100MH2005PLC154167,SHARDASHREE ISPAT LIMITED,600000,NAGPUR
U27100MH2005PLC154167,SHARDASHREE ISPAT LIMITED,500000,NAGPUR
U27101KA1978PLC003360,RAMGAD MINERALS AND MINING LIMITED,200000,BELLARY
U27101KA1978PLC003360,RAMGAD MINERALS AND MINING LIMITED,10000000,KOLKATA
U27101KA2006PTC038481,MINERA STEEL & POWER PRIVATE LIMITED,1500000,BELLARY
U27101RJ1982PLC002442,FIMAKEM INDIA LIMITED,1000000,UDAIPUR
U27101UP1991PLC012679,RIM JHIM ISPAT LIMTED,1000000,LUCKNOW
U27101WB2001PLC138341,MANAKSIA STEELS LIMITED,100000,KOLKATA
U27102CT1989GOI005468,FERRO SCRAP NIGAM LIMITED,400000,DURG
U27102WB1999PLC114830,MSP SPONGE IRON LIMITED,300000,RAIGARH
U27104HR1996PTC033093,SUNBEAM AUTO PRIVATE LIMITED,2400000,GURUGRAM
U27104HR1996PTC033093,SUNBEAM AUTO PRIVATE LIMITED,10000000,NEW DELHI
U27104HR1996PTC033093,SUNBEAM AUTO PRIVATE LIMITED,200000,NEW DELHI
U27104WB1999PLC096987,NEZONE STRIPS LIMITED,200000,KOLKATA
U27104WB1999PLC096987,NEZONE STRIPS LIMITED,100000,KOLKATA
U27106AP1990PLC018706,UMSL LIMITED,100000,CUTTACK
U27106AP1990PLC018706,UMSL LIMITED,1100000,CUTTACK
U27106AP1990PLC018706,UMSL LIMITED,100000,CUTTACK
U27106CT2002PLC015184,SHRI BAJRANG POWER AND ISPAT LIMITED,500000,KANKER
U27106CT2002PLC015184,SHRI BAJRANG POWER AND ISPAT LIMITED,3600000,RAIPUR
U27106CT2002PLC015184,SHRI BAJRANG POWER AND ISPAT LIMITED,7400000,RAIPUR
U27106CT2002PLC015184,SHRI BAJRANG POWER AND ISPAT LIMITED,4100000,RAIPUR
U27106PN1960PLC020566,ATLAS COPCO (INDIA) LIMITED,200000,NASHIK
U27106PN1960PLC020566,ATLAS COPCO (INDIA) LIMITED,1200000,PUNE
U27106PN1960PLC020566,ATLAS COPCO (INDIA) LIMITED,5800000,PUNE
U27106PN1960PLC020566,ATLAS COPCO (INDIA) LIMITED,200000,THANE
U27106WB1996PLC076992,ADHUNIK CORPORATION LIMITED,900000,KOLKATA
U27107RJ1970PTC001305,MAN STRUCTURALS PRIVATE LIMITED,1200000,CHENNAI
U27107RJ1970PTC001305,MAN STRUCTURALS PRIVATE LIMITED,1400000,JAIPUR
