,Unnamed: 0,Constituency,state,Type,Margin %,isMPMinister,centerAlignment,stateAlignment,rs_min_mplad_district,is_backward,ministry_comp_intersection,amount,non_backward,not_aligned,Total,Totalcsr
217,217,HOSHIARPUR,PUNJAB,SC,1.4,1.0,1,1,0,0,1,950000000,1,0,38,0.0
218,218,HOWRAH,WEST BENGAL,GEN,17.5,0.0,0,1,0,0,0,570000000,1,0,79,3.0
219,219,HYDERABAD,TELANGANA,GEN,20.8,0.0,0,0,0,0,0,30460000000,1,1,159,26.0
220,220,IDUKKI,KERALA,GEN,6.2,0.0,0,0,0,0,0,20040000000,1,1,24,7.0
221,221,INDORE,MADHYA PRADESH,GEN,35.5,0.0,1,1,0,0,0,3800000000,1,0,50,6.0
222,222,INNER MANIPUR,MANIPUR,GEN,14.8,0.0,0,1,0,1,0,960000000,0,0,0,0.0
223,223,JABALPUR,MADHYA PRADESH,GEN,20.8,0.0,1,1,0,0,0,530000000,1,0,7,1.0
224,224,JADAVPUR,WEST BENGAL,GEN,9.8,0.0,0,1,0,0,0,1090000000,1,0,16,1.0
225,225,JAGATSINGHPUR,ODISHA,SC,24.4,0.0,0,1,0,0,0,3090000000,1,0,6,0.0
226,226,JAHANABAD,BIHAR,GEN,5.2,0.0,1,0,0,1,0,870000000,0,0,3,0.0
227,227,JAIPUR,RAJASTHAN,GEN,41.6,0.0,1,1,0,0,0,14420000000,1,0,142,13.0
228,228,JAIPUR RURAL,RAJASTHAN,GEN,32.8,1.0,1,1,0,0,1,23580000000,1,0,251,18.0
229,229,JAJPUR,ODISHA,SC,32.7,0.0,0,1,0,0,0,0,1,0,32,1.0
230,230,JALANDHAR,PUNJAB,SC,6.8,0.0,0,0,0,0,0,670000000,1,1,24,0.0
231,231,JALAUN,UTTAR PRADESH,SC,25.9,0.0,1,0,0,0,0,620000000,1,0,3,0.0
232,232,JALGAON,MAHARASHTRA,GEN,38.7,0.0,1,1,0,1,0,1030000000,0,0,50,0.0
233,233,JALNA,MAHARASHTRA,GEN,19.4,0.0,1,1,0,0,0,50720000000,1,0,246,10.0
234,234,JALORE,RAJASTHAN,GEN,35.1,0.0,1,1,0,1,0,3450000000,0,0,6,0.0
